date,block
2009-02-01,2532
2009-02-02,2648
2009-02-03,2773
2009-02-04,2909
2009-02-05,3034
2009-02-06,3156
2009-02-07,3282
2009-02-08,3408
2009-02-09,3541
2009-02-10,3673
2009-02-11,3793
2009-02-12,3925
2009-02-13,4048
2009-02-14,4172
2009-02-15,4309
2009-02-16,4430
2009-02-17,4556
2009-02-18,4673
2009-02-19,4791
2009-02-20,4914
2009-02-21,5040
2009-02-22,5150
2009-02-23,5271
2009-02-24,5384
2009-02-25,5490
2009-02-26,5596
2009-02-27,5700
2009-02-28,5815
2009-03-01,5916
2009-03-02,6020
2009-03-03,6129
2009-03-04,6231
2009-03-05,6338
2009-03-06,6445
2009-03-07,6566
2009-03-08,6672
2009-03-09,6786
2009-03-10,6898
2009-03-11,7005
2009-03-12,7114
2009-03-13,7234
2009-03-14,7347
2009-03-15,7456
2009-03-16,7580
2009-03-17,7702
2009-03-18,7817
2009-03-19,7927
2009-03-20,8052
2009-03-21,8169
2009-03-22,8230
2009-03-23,8340
2009-03-24,8469
2009-03-25,8576
2009-03-26,8690
2009-03-27,8806
2009-03-28,8910
2009-03-29,9030
2009-03-30,9139
2009-03-31,9265
2009-04-01,9378
2009-04-02,9485
2009-04-03,9606
2009-04-04,9717
2009-04-05,9832
2009-04-06,9963
2009-04-07,10074
2009-04-08,10174
2009-04-09,10277
2009-04-10,10375
2009-04-11,10482
2009-04-12,10605
2009-04-13,10717
2009-04-14,10837
2009-04-15,10960
2009-04-16,11074
2009-04-17,11197
2009-04-18,11310
2009-04-19,11434
2009-04-20,11553
2009-04-21,11670
2009-04-22,11794
2009-04-23,11914
2009-04-24,11992
2009-04-25,12104
2009-04-26,12225
2009-04-27,12336
2009-04-28,12442
2009-04-29,12559
2009-04-30,12684
2009-05-01,12818
2009-05-02,12935
2009-05-03,13063
2009-05-04,13170
2009-05-05,13295
2009-05-06,13432
2009-05-07,13563
2009-05-08,13687
2009-05-09,13803
2009-05-10,13888
2009-05-11,13959
2009-05-12,14079
2009-05-13,14209
2009-05-14,14323
2009-05-15,14454
2009-05-16,14597
2009-05-17,14714
2009-05-18,14840
2009-05-19,14961
2009-05-20,15048
2009-05-21,15168
2009-05-22,15249
2009-05-23,15323
2009-05-24,15341
2009-05-25,15440
2009-05-26,15551
2009-05-27,15671
2009-05-28,15793
2009-05-29,15892
2009-05-30,15996
2009-05-31,16100
2009-06-01,16214
2009-06-02,16285
2009-06-03,16382
2009-06-04,16467
2009-06-05,16518
2009-06-06,16563
2009-06-07,16589
2009-06-08,16596
2009-06-09,16674
2009-06-10,16766
2009-06-11,16851
2009-06-12,16942
2009-06-13,17029
2009-06-14,17108
2009-06-15,17174
2009-06-16,17258
2009-06-17,17334
2009-06-18,17410
2009-06-19,17489
2009-06-20,17577
2009-06-21,17659
2009-06-22,17738
2009-06-23,17815
2009-06-24,17893
2009-06-25,17980
2009-06-26,18052
2009-06-27,18141
2009-06-28,18224
2009-06-29,18272
2009-06-30,18352
2009-07-01,18439
2009-07-02,18519
2009-07-03,18597
2009-07-04,18678
2009-07-05,18770
2009-07-06,18845
2009-07-07,18936
2009-07-08,19002
2009-07-09,19077
2009-07-10,19163
2009-07-11,19240
2009-07-12,19324
2009-07-13,19402
2009-07-14,19477
2009-07-15,19546
2009-07-16,19596
2009-07-17,19666
2009-07-18,19721
2009-07-19,19724
2009-07-20,19785
2009-07-21,19856
2009-07-22,19935
2009-07-23,20006
2009-07-24,20067
2009-07-25,20145
2009-07-26,20188
2009-07-27,20203
2009-07-28,20273
2009-07-29,20317
2009-07-30,20342
2009-07-31,20356
2009-08-01,20372
2009-08-02,20395
2009-08-03,20423
2009-08-04,20437
2009-08-05,20508
2009-08-06,20593
2009-08-07,20688
2009-08-08,20762
2009-08-09,20848
2009-08-10,20948
2009-08-11,21023
2009-08-12,21090
2009-08-13,21157
2009-08-14,21239
2009-08-15,21306
2009-08-16,21333
2009-08-17,21358
2009-08-18,21374
2009-08-19,21384
2009-08-20,21402
2009-08-21,21422
