date,block
2010-01-01,32481
2010-01-02,32609
2010-01-03,32735
2010-01-04,32917
2010-01-05,33098
2010-01-06,33298
2010-01-07,33459
2010-01-08,33621
2010-01-09,33767
2010-01-10,33920
2010-01-11,34107
2010-01-12,34264
2010-01-13,34431
2010-01-14,34589
2010-01-15,34740
2010-01-16,34877
2010-01-17,35006
2010-01-18,35135
2010-01-19,35262
2010-01-20,35383
2010-01-21,35533
2010-01-22,35715
2010-01-23,35851
2010-01-24,36010
2010-01-25,36156
2010-01-26,36360
2010-01-27,36564
2010-01-28,36733
2010-01-29,36906
2010-01-30,37101
2010-01-31,37303
2010-02-01,37482
2010-02-02,37658
2010-02-03,37808
2010-02-04,38070
2010-02-05,38307
2010-02-06,38524
2010-02-07,38723
2010-02-08,38937
2010-02-09,39139
2010-02-10,39346
2010-02-11,39509
2010-02-12,39679
2010-02-13,39868
2010-02-14,40094
2010-02-15,40306
2010-02-16,40485
2010-02-17,40671
2010-02-18,40910
2010-02-19,41121
2010-02-20,41310
2010-02-21,41525
2010-02-22,41739
2010-02-23,41993
2010-02-24,42245
2010-02-25,42424
2010-02-26,42578
2010-02-27,42756
2010-02-28,42929
2010-03-01,43084
2010-03-02,43271
2010-03-03,43460
2010-03-04,43616
2010-03-05,43800
2010-03-06,43973
2010-03-07,44147
2010-03-08,44327
2010-03-09,44458
2010-03-10,44603
2010-03-11,44759
2010-03-12,44895
2010-03-13,45016
2010-03-14,45172
2010-03-15,45296
2010-03-16,45433
2010-03-17,45557
2010-03-18,45689
2010-03-19,45835
2010-03-20,45978
2010-03-21,46178
2010-03-22,46360
2010-03-23,46531
2010-03-24,46745
2010-03-25,46918
2010-03-26,47101
2010-03-27,47281
2010-03-28,47462
2010-03-29,47653
2010-03-30,47846
2010-03-31,48050
2010-04-01,48271
2010-04-02,48443
2010-04-03,48599
2010-04-04,48765
2010-04-05,48927
2010-04-06,49089
2010-04-07,49239
2010-04-08,49427
2010-04-09,49623
2010-04-10,49804
2010-04-11,50053
2010-04-12,50290
2010-04-13,50499
2010-04-14,50681
2010-04-15,50866
2010-04-16,51076
2010-04-17,51282
2010-04-18,51484
2010-04-19,51753
2010-04-20,51972
2010-04-21,52169
2010-04-22,52401
2010-04-23,52566
2010-04-24,52714
2010-04-25,52878
2010-04-26,53041
2010-04-27,53201
2010-04-28,53380
2010-04-29,53558
2010-04-30,53711
2010-05-01,53857
2010-05-02,54034
2010-05-03,54195
2010-05-04,54351
2010-05-05,54487
2010-05-06,54625
2010-05-07,54777
2010-05-08,54906
2010-05-09,55062
2010-05-10,55203
2010-05-11,55336
2010-05-12,55449
2010-05-13,55572
2010-05-14,55700
2010-05-15,55824
2010-05-16,55922
2010-05-17,56031
2010-05-18,56171
2010-05-19,56338
2010-05-20,56499
2010-05-21,56693
2010-05-22,56877
2010-05-23,57064
2010-05-24,57283
2010-05-25,57469
2010-05-26,57686
2010-05-27,57897
2010-05-28,58092
2010-05-29,58311
2010-05-30,58500
2010-05-31,58649
2010-06-01,58801
2010-06-02,58939
2010-06-03,59078
2010-06-04,59230
2010-06-05,59359
2010-06-06,59500
2010-06-07,59650
2010-06-08,59812
2010-06-09,59965
2010-06-10,60130
2010-06-11,60291
2010-06-12,60465
2010-06-13,60599
2010-06-14,60765
2010-06-15,60917
2010-06-16,61111
2010-06-17,61255
2010-06-18,61400
2010-06-19,61545
2010-06-20,61702
2010-06-21,61883
2010-06-22,62040
2010-06-23,62201
2010-06-24,62378
2010-06-25,62548
2010-06-26,62701
2010-06-27,62863
2010-06-28,63029
2010-06-29,63189
2010-06-30,63356
2010-07-01,63538
2010-07-02,63747
2010-07-03,63920
2010-07-04,64132
2010-07-05,64300
2010-07-06,64480
2010-07-07,64650
2010-07-08,64803
2010-07-09,64955
2010-07-10,65148
2010-07-11,65344
2010-07-12,65529
2010-07-13,66110
2010-07-14,66820
2010-07-15,67389
2010-07-16,68038
2010-07-17,68578
2010-07-18,68758
2010-07-19,68937
2010-07-20,69099
2010-07-21,69282
2010-07-22,69486
2010-07-23,69669
2010-07-24,69865
2010-07-25,70049
2010-07-26,70263
2010-07-27,70527
2010-07-28,70695
2010-07-29,70857
2010-07-30,71035
2010-07-31,71212
2010-08-01,71412
2010-08-02,71636
2010-08-03,71890
2010-08-04,72115
2010-08-05,72356
2010-08-06,72581
2010-08-07,72734
2010-08-08,72879
2010-08-09,73081
2010-08-10,73269
2010-08-11,73472
2010-08-12,73694
2010-08-13,73910
2010-08-14,74121
2010-08-15,74395
2010-08-16,74637
2010-08-17,74772
2010-08-18,74900
2010-08-19,75034
2010-08-20,75171
2010-08-21,75339
2010-08-22,75528
2010-08-23,75734
2010-08-24,75946
2010-08-25,76158
2010-08-26,76379
2010-08-27,76587
2010-08-28,76761
2010-08-29,76937
2010-08-30,77102
2010-08-31,77246
2010-09-01,77429
2010-09-02,77591
